county,state,deaths,pop
scott,iowa,239,165224
sioux,iowa,74,33704
tama,iowa,71,17767
woodbury,iowa,228,102172
jackson,kansas,16,13462
mitchell,kansas,18,6373
allen,kentucky,40,19956
breathitt,kentucky,8,13878
hardin,kentucky,154,105543
jessamine,kentucky,64,48586
oldham,kentucky,82,60316
cecil,maryland,129,101108
st. mary's,maryland,123,105151
emmet,michigan,41,32694
gladwin,michigan,50,25692
grand traverse,michigan,88,86986
roscommon,michigan,47,24449
le sueur,minnesota,22,27703
chickasaw,mississippi,57,17392
montgomery,mississippi,42,10925
oktibbeha,mississippi,98,47671
pontotoc,mississippi,72,29957
sunflower,mississippi,90,29450
tate,mississippi,84,28886
